ticker,type,issue_date,payment_date,capital,interest_rate,interest_amount,residual_value,cash_flow
BA37D,SUB_SOBERANO,2021-09-03,2021-09-01,,0.025,0.4236111111,100,0.4236111111
BA37D,SUB_SOBERANO,2021-09-03,2022-03-02,,0.039,1.95,100,1.95
BA37D,SUB_SOBERANO,2021-09-03,2022-09-01,,0.039,1.95,100,1.95
BA37D,SUB_SOBERANO,2021-09-03,2023-03-01,,0.0525,2.625,100,2.625
BA37D,SUB_SOBERANO,2021-09-03,2023-09-01,,0.0525,2.625,100,2.625
BA37D,SUB_SOBERANO,2021-09-03,2024-03-01,1.83,0.06375,3.1875,98.17,5.0175
BA37D,SUB_SOBERANO,2021-09-03,2024-09-02,1.83,0.06375,3.12916875,96.34,4.95916875
BA37D,SUB_SOBERANO,2021-09-03,2025-03-05,2.25,0.06625,3.1912625,94.089999999999989,5.4412625000000006
BA37D,SUB_SOBERANO,2021-09-03,2025-09-01,2.25,0.06625,3.11673125,91.84,5.36673125
BA37D,SUB_SOBERANO,2021-09-03,2026-03-02,2.9,0.06625,3.0422,88.94,5.9422
BA37D,SUB_SOBERANO,2021-09-03,2026-09-01,2.9,0.06625,2.9461375,86.04,5.8461374999999993
BA37D,SUB_SOBERANO,2021-09-03,2027-03-01,3.28,0.06625,2.850075,82.76,6.130075
BA37D,SUB_SOBERANO,2021-09-03,2027-09-01,3.28,0.06625,2.741425,79.47999999999999,6.021425
BA37D,SUB_SOBERANO,2021-09-03,2028-03-01,3.47,0.06625,2.632775,76.01,6.102775
BA37D,SUB_SOBERANO,2021-09-03,2028-09-01,3.47,0.06625,2.51783125,72.54,5.98783125
BA37D,SUB_SOBERANO,2021-09-03,2029-03-01,3.79,0.06625,2.4028875,68.75,6.1928874999999994
BA37D,SUB_SOBERANO,2021-09-03,2029-09-03,3.79,0.06625,2.27734375,64.96,6.06734375
BA37D,SUB_SOBERANO,2021-09-03,2030-03-01,3.08,0.06625,2.1518,61.88,5.2318
BA37D,SUB_SOBERANO,2021-09-03,2030-09-02,3.08,0.06625,2.049775,58.8,5.129775
BA37D,SUB_SOBERANO,2021-09-03,2031-03-03,3.59,0.06625,1.94775,55.21,5.53775
BA37D,SUB_SOBERANO,2021-09-03,2031-09-01,3.59,0.06625,1.82883125,51.62,5.41883125
BA37D,SUB_SOBERANO,2021-09-03,2032-03-01,3.77,0.06625,1.7099125,47.85,5.4799125
BA37D,SUB_SOBERANO,2021-09-03,2032-09-01,3.77,0.06625,1.58503125,44.080000000000005,5.35503125
BA37D,SUB_SOBERANO,2021-09-03,2033-03-01,3.94,0.06625,1.46015,40.14,5.40015
BA37D,SUB_SOBERANO,2021-09-03,2033-09-01,3.94,0.06625,1.3296375,36.199999999999996,5.2696375
BA37D,SUB_SOBERANO,2021-09-03,2034-03-01,4.2,0.06625,1.199125,32,5.399125
BA37D,SUB_SOBERANO,2021-09-03,2034-09-01,4.2,0.06625,1.06,27.800000000000004,5.26
BA37D,SUB_SOBERANO,2021-09-03,2035-03-01,4.4,0.06625,0.920875,23.400000000000002,5.320875
BA37D,SUB_SOBERANO,2021-09-03,2035-09-03,4.4,0.06625,0.775125,19,5.175125
BA37D,SUB_SOBERANO,2021-09-03,2036-03-03,4.67,0.06625,0.629375,14.330000000000002,5.2993749999999995
BA37D,SUB_SOBERANO,2021-09-03,2036-09-01,4.67,0.06625,0.47468125,9.66,5.14468125
BA37D,SUB_SOBERANO,2021-09-03,2037-03-02,4.83,0.06625,0.3199875,4.83,5.1499875
BA37D,SUB_SOBERANO,2021-09-03,2037-09-01,4.83,0.06625,0.15999375,,4.98999375
BB37D,SUB_SOBERANO,2021-06-30,2021-09-01,,0.025,0.4236111111,100,0.4236111111
BB37D,SUB_SOBERANO,2021-06-30,2022-03-02,,0.035,1.75,100,1.75
BB37D,SUB_SOBERANO,2021-06-30,2022-09-01,,0.035,1.75,100,1.75
BB37D,SUB_SOBERANO,2021-06-30,2023-03-01,,0.045,2.25,100,2.25
BB37D,SUB_SOBERANO,2021-06-30,2023-09-01,,0.045,2.25,100,2.25
BB37D,SUB_SOBERANO,2021-06-30,2024-03-01,,0.055,2.75,100,2.75
BB37D,SUB_SOBERANO,2021-06-30,2024-09-02,,0.055,2.75,100,2.75
BB37D,SUB_SOBERANO,2021-06-30,2025-03-05,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2025-09-01,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2026-03-02,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2026-09-01,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2027-03-01,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2027-09-01,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2028-03-01,,0.05875,2.9375,100,2.9375
BB37D,SUB_SOBERANO,2021-06-30,2028-09-01,0.75,0.05875,2.9375,99.25,3.6875
BB37D,SUB_SOBERANO,2021-06-30,2029-03-01,0.75,0.05875,2.9155,98.5,3.6655
BB37D,SUB_SOBERANO,2021-06-30,2029-09-03,0.75,0.05875,2.8934,97.75,3.6434
BB37D,SUB_SOBERANO,2021-06-30,2030-03-01,6.15,0.05875,2.8714,91.6,9.0214
BB37D,SUB_SOBERANO,2021-06-30,2030-09-02,6.15,0.05875,2.6908,85.45,8.8408
BB37D,SUB_SOBERANO,2021-06-30,2031-03-03,6.35,0.05875,2.5101,79.1,8.8601
BB37D,SUB_SOBERANO,2021-06-30,2031-09-01,6.35,0.05875,2.3236,72.75,8.6736
BB37D,SUB_SOBERANO,2021-06-30,2032-03-01,6.35,0.05875,2.137,66.4,8.487
BB37D,SUB_SOBERANO,2021-06-30,2032-09-01,6.35,0.05875,1.9505,60.05,8.3005
BB37D,SUB_SOBERANO,2021-06-30,2033-03-01,6.35,0.05875,1.764,53.7,8.114
BB37D,SUB_SOBERANO,2021-06-30,2033-09-01,6.35,0.05875,1.5774,47.35,7.9274
BB37D,SUB_SOBERANO,2021-06-30,2034-03-01,5.9,0.05875,1.3909,41.45,7.2909
BB37D,SUB_SOBERANO,2021-06-30,2034-09-01,5.9,0.05875,1.2176,35.55,7.1176
BB37D,SUB_SOBERANO,2021-06-30,2035-03-01,5.9,0.05875,1.0443,29.65,6.9443
BB37D,SUB_SOBERANO,2021-06-30,2035-09-03,5.9,0.05875,0.871,23.75,6.771
BB37D,SUB_SOBERANO,2021-06-30,2036-03-03,5.9,0.05875,0.6977,17.85,6.5977
BB37D,SUB_SOBERANO,2021-06-30,2036-09-01,5.9,0.05875,0.5243,11.95,6.4243
BB37D,SUB_SOBERANO,2021-06-30,2037-03-02,5.98,0.05875,0.351,5.97,6.331
BB37D,SUB_SOBERANO,2021-06-30,2037-09-01,5.97,0.05875,0.1754,,6.1454
BC37D,SUB_SOBERANO,2021-06-30,2021-09-01,,0.02,0.33888888888888891,100,0.338889
BC37D,SUB_SOBERANO,2021-06-30,2022-03-02,,0.03,1.5,100,1.5
BC37D,SUB_SOBERANO,2021-06-30,2022-09-01,,0.03,1.5,100,1.5
BC37D,SUB_SOBERANO,2021-06-30,2023-03-01,,0.04,2,100,2
BC37D,SUB_SOBERANO,2021-06-30,2023-09-01,,0.04,2,100,2
BC37D,SUB_SOBERANO,2021-06-30,2024-03-01,,0.05,2.5,100,2.5
BC37D,SUB_SOBERANO,2021-06-30,2024-09-02,,0.05,2.5,100,2.5
BC37D,SUB_SOBERANO,2021-06-30,2025-03-05,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2025-09-01,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2026-03-02,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2026-09-01,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2027-03-01,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2027-09-01,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2028-03-01,,0.0525,2.625,100,2.625
BC37D,SUB_SOBERANO,2021-06-30,2028-09-01,0.75,0.0525,2.625,99.25,3.375
BC37D,SUB_SOBERANO,2021-06-30,2029-03-01,0.75,0.0525,2.6053125,98.5,3.355312
BC37D,SUB_SOBERANO,2021-06-30,2029-09-03,0.75,0.0525,2.585625,97.75,3.335625
BC37D,SUB_SOBERANO,2021-06-30,2030-03-01,6.15,0.0525,2.5659375,91.600000000000009,8.715938
BC37D,SUB_SOBERANO,2021-06-30,2030-09-02,6.15,0.0525,2.4045,85.45,8.5545
BC37D,SUB_SOBERANO,2021-06-30,2031-03-03,6.35,0.0525,2.2430624999999997,79.100000000000009,8.593062
BC37D,SUB_SOBERANO,2021-06-30,2031-09-01,6.35,0.0525,2.076375,72.75,8.426375
BC37D,SUB_SOBERANO,2021-06-30,2032-03-01,6.35,0.0525,1.9096875,66.4,8.259688
BC37D,SUB_SOBERANO,2021-06-30,2032-09-01,6.35,0.0525,1.743,60.050000000000004,8.093
BC37D,SUB_SOBERANO,2021-06-30,2033-03-01,6.35,0.0525,1.5763125,53.7,7.926312
BC37D,SUB_SOBERANO,2021-06-30,2033-09-01,6.35,0.0525,1.4096250000000001,47.349999999999994,7.759625
BC37D,SUB_SOBERANO,2021-06-30,2034-03-01,5.8999999999999995,0.0525,1.2429375,41.449999999999996,7.142937
BC37D,SUB_SOBERANO,2021-06-30,2034-09-01,5.8999999999999995,0.0525,1.0880625,35.55,6.988062
BC37D,SUB_SOBERANO,2021-06-30,2035-03-01,5.8999999999999995,0.0525,0.9331875,29.65,6.833187
BC37D,SUB_SOBERANO,2021-06-30,2035-09-03,5.8999999999999995,0.0525,0.7783125,23.75,6.678312
BC37D,SUB_SOBERANO,2021-06-30,2036-03-03,5.8999999999999995,0.0525,0.6234375,17.849999999999998,6.523437
BC37D,SUB_SOBERANO,2021-06-30,2036-09-01,5.8999999999999995,0.0525,0.4685625,11.95,6.368562
BC37D,SUB_SOBERANO,2021-06-30,2037-03-02,5.9799999999999995,0.0525,0.3136875,5.9700000000000006,6.293688
BC37D,SUB_SOBERANO,2021-06-30,2037-09-01,5.9700000000000006,0.0525,0.1567125,,6.126713
BDC33,SUB_SOBERANO,2025-11-26,2026-05-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2026-11-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2027-05-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2027-11-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2028-05-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2028-11-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2029-05-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2029-11-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2030-05-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2030-11-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2031-05-26,,0.078,3.9,100,3.9
BDC33,SUB_SOBERANO,2025-11-26,2031-11-26,33.33,0.078,3.9,100,37.23
BDC33,SUB_SOBERANO,2025-11-26,2032-05-26,,0.078,2.60013,100,2.60013
BDC33,SUB_SOBERANO,2025-11-26,2032-11-26,33.33,0.078,2.60013,100,35.93013
BDC33,SUB_SOBERANO,2025-11-26,2033-05-26,,0.078,1.30026,100,1.30026
BDC33,SUB_SOBERANO,2025-11-26,2033-11-28,33.34,0.078,1.30026,100,34.64026
BNA26,SUB_SOBERANO,2023-10-19,2024-07-19,,0.0945,7.07459,100,7.07459
BNA26,SUB_SOBERANO,2023-10-19,2024-10-21,,0.0945,2.37541,100,2.37541
BNA26,SUB_SOBERANO,2023-10-19,2025-01-20,,0.0945,2.38192,100,2.38192
BNA26,SUB_SOBERANO,2023-10-19,2025-04-21,,0.0945,2.33014,100,2.33014
BNA26,SUB_SOBERANO,2023-10-19,2025-07-21,25,0.0945,2.35603,75,27.35603
BNA26,SUB_SOBERANO,2023-10-19,2025-10-20,25,0.0945,1.78644,50,26.78644
BNA26,SUB_SOBERANO,2023-10-19,2026-01-19,25,0.0945,1.19096,25,26.19096
BNA26,SUB_SOBERANO,2023-10-19,2026-04-20,25,0.0945,0.58901,,25.58901
CH24D,SUB_SOBERANO,2016-08-18,2017-02-20,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2017-08-18,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2018-02-19,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2018-08-21,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2019-02-18,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2019-08-20,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2020-02-18,,0.09375,4.6875,100,4.6875
CH24D,SUB_SOBERANO,2016-08-18,2020-08-18,,,,100,
CH24D,SUB_SOBERANO,2016-08-18,2021-06-25,,,,100,
CH24D,SUB_SOBERANO,2016-08-18,2021-08-18,,0.035,0.51527777777777783,100,0.515278
CH24D,SUB_SOBERANO,2016-08-18,2022-02-18,,0.035,1.7500000000000002,100,1.75
CH24D,SUB_SOBERANO,2016-08-18,2022-08-18,,0.0475,2.375,100,2.375
CH24D,SUB_SOBERANO,2016-08-18,2023-02-22,,0.0475,2.375,100,2.375
CH24D,SUB_SOBERANO,2016-08-18,2023-08-18,,0.065,3.25,100,3.25
CH24D,SUB_SOBERANO,2016-08-18,2024-02-19,11.12,0.065,3.25,88.88000000000001,14.37
CH24D,SUB_SOBERANO,2016-08-18,2024-08-19,11.110000000000001,0.0825,3.6663,77.77,14.7763
CH24D,SUB_SOBERANO,2016-08-18,2025-02-18,11.110000000000001,0.0825,3.2080125,66.66,14.318013
CH24D,SUB_SOBERANO,2016-08-18,2025-08-18,11.110000000000001,0.0825,2.749725,55.55,13.859725
CH24D,SUB_SOBERANO,2016-08-18,2026-02-18,11.110000000000001,0.0825,2.2914375000000002,44.440000000000005,13.401438
CH24D,SUB_SOBERANO,2016-08-18,2026-08-18,11.110000000000001,0.0825,1.83315,33.33,12.94315
CH24D,SUB_SOBERANO,2016-08-18,2027-02-18,11.110000000000001,0.0825,1.3748625,22.220000000000002,12.484863
CH24D,SUB_SOBERANO,2016-08-18,2027-08-18,11.110000000000001,0.0825,0.916575,11.110000000000001,12.026575
CH24D,SUB_SOBERANO,2016-08-18,2028-02-18,11.110000000000001,0.0825,0.4582875,,11.568288
CO21D,SUB_SOBERANO,2016-06-10,2016-12-12,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2017-06-12,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2017-12-11,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2018-06-11,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2018-12-10,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2019-06-10,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2019-12-10,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2020-06-10,,0.07125,3.5625,100,3.5625
CO21D,SUB_SOBERANO,2016-06-10,2020-12-10,,,,100,
CO21D,SUB_SOBERANO,2016-06-10,2021-06-10,,0.022333333333,1.1167,100,1.1167
CO21D,SUB_SOBERANO,2016-06-10,2021-12-10,,0.05,2.5,100,2.5
CO21D,SUB_SOBERANO,2016-06-10,2022-06-10,,0.05,2.5,100,2.5
CO21D,SUB_SOBERANO,2016-06-10,2022-12-12,,0.06875,3.4375,100,3.4375
CO21D,SUB_SOBERANO,2016-06-10,2023-06-12,16.666,0.06875,3.4375,83.334,20.1035
CO21D,SUB_SOBERANO,2016-06-10,2023-12-11,16.666,0.06875,2.8646,66.668,19.5306
CO21D,SUB_SOBERANO,2016-06-10,2024-06-10,16.667,0.06875,2.2917,50.001,18.9587
CO21D,SUB_SOBERANO,2016-06-10,2024-12-10,16.667,0.06875,1.7188,33.334,18.3858
CO21D,SUB_SOBERANO,2016-06-10,2025-06-10,16.667,0.06875,1.1459,16.667,17.8129
CO21D,SUB_SOBERANO,2016-06-10,2025-12-10,16.667,0.06875,0.5729,,17.2399
CO26,SUB_SOBERANO,2016-10-27,2017-01-27,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2017-04-27,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2017-07-27,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2017-10-27,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2018-01-29,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2018-04-27,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2018-07-27,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2018-10-29,,0.07125,1.78125,100,1.78125
CO26,SUB_SOBERANO,2016-10-27,2019-01-28,3.125,0.07125,1.78125,96.875,4.90625
CO26,SUB_SOBERANO,2016-10-27,2019-04-29,3.125,0.07125,1.72559,93.75,4.85059
CO26,SUB_SOBERANO,2016-10-27,2019-07-29,3.125,0.07125,1.66992,90.625,4.79492
